timestamp,dataset,algorithm,spark_version,features,partitions,lambda,max_iterations,actual_iterations,runtime_sec,accuracy_percent,model_norm,non_zero_weights,total_weights,non_zero_percent,convergence_status,train_file,test_file
2025-07-13T21:22:42.766,higgs,admm,2_4,27,8,0.01,50,18,107.917,61.74,0.868,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:24:59.894,higgs,admm,2_4,27,8,0.01,50,22,132.755,61.73,0.955932,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:26:58.218,higgs,admm,2_4,27,8,0.01,50,18,113.948,61.72,0.867995,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:28:58.416,higgs,admm,2_4,27,8,0.01,50,18,115.815,61.74,0.868002,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:31:20.948,higgs,admm,2_4,27,8,0.01,50,21,138.136,61.73,0.928238,27,27,100,converged,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T03:13:21.492,rcv1,admm,2_4,47236,10,0.01,50,14,129.738,92.08,2.057954,39374,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:16:40.541,rcv1,admm,2_4,47236,15,0.01,50,21,172.958,92.34,5.210246,39376,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:07:45.097,rcv1,admm,2_4,47236,5,0.01,50,21,218.445,92.15,2.848134,39372,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:10:43.142,rcv1,admm,2_4,47236,8,0.01,50,17,149.032,92.12,2.521689,39372,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:26:44.592,rcv1,admm,2_4,47236,10,0.01,50,14,132.034,92.08,2.057953,39374,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:30:11.974,rcv1,admm,2_4,47236,15,0.01,50,21,180.183,92.34,5.210189,39377,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:21:09.572,rcv1,admm,2_4,47236,5,0.01,50,21,237.433,92.15,2.848137,39371,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:24:04.648,rcv1,admm,2_4,47236,8,0.01,50,17,150.437,92.12,2.521688,39373,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:40:25.761,rcv1,admm,2_4,47236,10,0.01,50,14,131.958,92.08,2.057958,39374,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:43:56.656,rcv1,admm,2_4,47236,15,0.01,50,21,183.038,92.34,5.210212,39373,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:34:48.891,rcv1,admm,2_4,47236,5,0.01,50,21,246.025,92.15,2.848137,39371,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:37:45.705,rcv1,admm,2_4,47236,8,0.01,50,17,153.403,92.12,2.521694,39370,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:54:13.420,rcv1,admm,2_4,47236,10,0.01,50,14,144.192,92.08,2.057953,39374,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:57:40.281,rcv1,admm,2_4,47236,15,0.01,50,21,179.494,92.34,5.210195,39374,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:48:29.006,rcv1,admm,2_4,47236,5,0.01,50,21,242.033,92.15,2.84813,39372,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:51:23.289,rcv1,admm,2_4,47236,8,0.01,50,17,148.56,92.12,2.521691,39371,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:08:14.010,rcv1,admm,2_4,47236,10,0.01,50,14,140.454,92.08,2.057956,39374,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:11:47.803,rcv1,admm,2_4,47236,15,0.01,50,21,186.54,92.34,5.210246,39376,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:02:24.837,rcv1,admm,2_4,47236,5,0.01,50,21,254.331,92.15,2.848137,39371,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:05:24.817,rcv1,admm,2_4,47236,8,0.01,50,17,151.476,92.12,2.521688,39371,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:22:35.767,rcv1,admm,2_4,47236,10,0.01,50,14,141.943,92.08,2.057958,39374,47236,83.36,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:26:06.308,rcv1,admm,2_4,47236,15,0.01,50,21,183.271,92.34,5.210213,39372,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T04:16:44.533,rcv1,admm,2_4,47236,5,0.01,50,21,266.656,92.15,2.848134,39372,47236,83.35,converged,rcv1_train15k.binary,rcv1_test10k.binary
